"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260201","경원선","회룡","8004","7944","20260204",""
"20260201","1호선","종각","16205","14648","20260204",""
"20260201","1호선","시청","12420","12380","20260204",""
"20260201","1호선","종로3가","15226","13690","20260204",""
"20260201","1호선","종로5가","11822","11226","20260204",""
"20260201","1호선","동대문","11428","11614","20260204",""
"20260201","1호선","신설동","9107","8975","20260204",""
"20260201","1호선","제기동","11540","12440","20260204",""
"20260201","1호선","청량리(서울시립대입구)","17648","17833","20260204",""
"20260201","1호선","동묘앞","13555","13617","20260204",""
"20260201","2호선","시청","9528","7662","20260204",""
"20260201","2호선","을지로입구","29010","28730","20260204",""
"20260201","2호선","을지로3가","13146","12939","20260204",""
"20260201","2호선","을지로4가","6327","6124","20260204",""
"20260201","2호선","동대문역사문화공원(DDP)","10649","12524","20260204",""
"20260201","2호선","신당","9775","10400","20260204",""
"20260201","2호선","상왕십리","7600","7707","20260204",""
"20260201","2호선","왕십리(성동구청)","10055","9611","20260204",""
"20260201","2호선","한양대","3098","3289","20260204",""
"20260201","2호선","뚝섬","11919","12272","20260204",""
"20260201","2호선","성수","33578","34859","20260204",""
"20260201","2호선","건대입구","28849","29606","20260204",""
"20260201","2호선","구의(광진구청)","15804","15934","20260204",""
"20260201","2호선","강변(동서울터미널)","19117","18419","20260204",""
"20260201","2호선","잠실나루","5991","6164","20260204",""
"20260201","2호선","잠실(송파구청)","57901","53617","20260204",""
"20260201","2호선","잠실새내","12961","13033","20260204",""
"20260201","2호선","종합운동장","8759","9201","20260204",""
"20260201","2호선","삼성(무역센터)","29592","28079","20260204",""
"20260201","2호선","선릉","16048","13925","20260204",""
"20260201","2호선","역삼","13725","14686","20260204",""
"20260201","2호선","강남","35962","34563","20260204",""
"20260201","2호선","교대(법원.검찰청)","10376","12384","20260204",""
"20260201","2호선","서초","14955","14067","20260204",""
"20260201","2호선","방배","7312","7494","20260204",""
"20260201","2호선","사당","26084","28071","20260204",""
"20260201","2호선","낙성대(강감찬)","16739","17056","20260204",""
