# N = 15
  v [m/s]      rho [1/m]
  0.78125      0.907110323
  0.877192982  0.910322643
  0.877192982  0.859542214
  0.892857143  0.721261561
  0.909090909  0.64552715
  0.925925926  0.719317555
  0.943396226  0.709104939
  0.961538462  0.623094795
  0.925925926  0.623661614
  0.925925926  0.693727272
  0.909090909  0.824444977
  0.943396226  0.907003282
  0.862068966  0.843220341
  0.943396226  0.775410354
  0.925925926  0.787703048
  0.892857143  0.850146198
  0.833333333  0.863859911
  0.819672131  0.851070723
  0.847457627  0.799774776
  0.862068966  0.768817203
  0.862068966  0.803396203
  0.909090909  0.755170605
  0.961538462  0.588631931
  0.961538462  0.559305643
  0.925925926  0.699686518
  0.892857143  0.843602907
  0.909090909  0.912174864
  0.877192982  0.862068967


# N = 20
  v [m/s]      rho [1/m]
  0.588235294  1.01149172
  0.561797753  1.13629931
  0.515463918  1.18735037
  0.471698113  1.17934392
  0.490196078  1.15734365
  0.526315789  1.11932848
  0.568181818  1.09869274
  0.568181818  1.13692019
  0.568181818  1.16049049
  0.595238095  1.13489305
  0.595238095  1.0627451
  0.602409639  0.987184162
  0.595238095  0.921052631
  0.581395349  0.99846743
  0.543478261  1.08921348
  0.537634409  1.10853411
  0.568181818  1.07759832
  0.625        1.02153543
  0.625        0.925524694
  0.602409639  0.870390717
  0.588235294  1.02034883
  0.531914894  1.117048
  0.495049505  1.16136047
  0.454545455  1.14333114
  0.416666667  1.11803442
  0.46728972   1.09746021
  0.510204082  1.10892346
  0.510204082  1.13809398
  0.520833333  1.12868526
  0.510204082  1.06374974
  0.574712644  0.968921359
  0.632911392  0.856657611
  0.574712644  0.847301133
  0.595238095  0.994846696
  0.595238095  1.11127451
  0.588235294  1.15911754
  0.581395349  1.16496456
  0.581395349  1.12082649
  0.574712644  1.04451798
  0.609756098  1.0107095
  0.595238095  1.07928133
  0.549450549  1.10203804
  
# N = 25
  v [m/s]      rho [1/m]
  0.3125       1.40877218
  0.295857988  1.46573571
  0.287356322  1.45031855
  0.264550265  1.41152811
  0.326797386  1.3860908
  0.314465409  1.43826885
  0.354609929  1.49914594
  0.367647059  1.53559941
  0.37593985   1.51613136
  0.373134328  1.439754
  0.37037037   1.35546875
  0.362318841  1.3356424
  0.406504065  1.3358815
  0.387596899  1.30240709
  0.34965035   1.36539845
  0.352112676  1.45655429
  0.3125       1.45699793
  0.260416667  1.43633784
  0.304878049  1.41638695
  0.33557047   1.41370516
  0.378787879  1.32719109
  0.384615385  1.23770447
  0.4          1.21054853
  0.37593985   1.18198223
  0.393700787  1.18695312
  0.373134328  1.28629266
  0.364963504  1.355629
  0.354609929  1.40600118
  0.347222222  1.4085162
  0.326797386  1.3737931
  0.303030303  1.38707932
  0.331125828  1.49205624
  
# N = 30
  v [m/s]      rho [1/m]
  0.219298246  1.7948599
  0.230414747  1.86151003
  0.245098039  1.90232574
  0.261780105  1.91303662
  0.256410256  1.90107034
  0.257731959  1.81982249
  0.220264317  1.70904081
  0.200803213  1.68022222
  0.210084034  1.69225069
  0.221238938  1.77215992
  0.236966825  1.81752167
  0.251256281  1.81318934
  0.256410256  1.7516175
  0.211864407  1.67488624
  0.214592275  1.65697165
  0.203252033  1.65352411
  0.210084034  1.64020856
  0.224215247  1.60832623
  0.252525253  1.59227958
  0.252525253  1.57767664
  0.245098039  1.51348769
  0.268817204  1.42269983
  0.289017341  1.36423127
  0.279329609  1.34608672
  0.299401198  1.41216141
  0.261780105  1.54684848
  0.228310502  1.67931745
  0.229357798  1.72098927
  0.222222222  1.6970949
  0.200803213  1.66283178
  0.2          1.64321209
  0.193050193  1.78857409
  0.18115942   1.88957823
  0.194552529  1.95738905
  0.204081633  1.97470037
  0.187265918  1.91644332
  0.217391304  1.79962607
  0.217391304  1.73532617
  0.219298246  1.70854836
  0.228310502  1.70884583
  0.213675214  1.7388361
  0.210970464  1.78178837
  0.223214286  1.78332139
  0.212765957  1.73520045
  
# N = 34
  v [m/s]      rho [1/m]
  0.145772595  1.8488166
  0.155279503  1.81285213
  0.187969925  1.74219062
  0.201612903  1.63581255
  0.23255814   1.51209677
  0.231481481  1.50579694
  0.17921147   1.74893891
  0.17921147   1.90691964
  0.189393939  1.99350508
  0.161290323  2.00940811
  0.159744409  1.99618022
  0.164473684  1.9082313
  0.137741047  1.8914427
  0.136986301  1.92123814
  0.135869565  1.92829213
  0.151057402  1.97743444
  0.154320988  1.95603509
  0.20242915   1.85821117
  0.200803213  1.75384689
  0.171232877  1.73422991
  0.160771704  1.73689095
  0.148367953  1.70041851
  0.144092219  1.60807577
  0.110375276  1.44160093
