연번,호선,고유역번호(외부역코드),역명,턴스타일개집표기,슬림개집표기,플랩형개집표기,표준형개집표기,개방형개집표기,우대자용개집표기,엘레베이터용개집표기
1,1,150,서울역(1),29,33,0,14,0,16,0
2,1,151,시청(1),0,64,0,0,0,8,0
3,1,152,종각,37,11,0,0,0,10,0
4,1,153,종로3가(1),33,0,0,0,0,8,0
5,1,154,종로5가,31,0,0,0,0,6,0
6,1,155,동대문(1),25,0,0,0,0,6,0
7,1,156,신설동(1),23,11,0,0,0,8,0
8,1,157,제기동,20,0,0,0,0,4,0
9,1,158,청량리,36,0,0,0,0,6,0
10,1,159,동묘앞,12,0,0,0,0,4,0
11,1,244,용답,7,0,0,0,0,4,0
12,1,245,신답,6,0,0,0,0,2,0
13,1,246,신설동(2),10,0,0,0,0,4,0
14,1,250,용두,10,0,0,0,0,4,0
15,2,202,을지로입구,51,7,0,0,0,12,0
16,2,203,을지로3가(2),35,0,0,0,0,8,0
17,2,204,을지로4가,28,0,0,0,0,8,0
18,2,205,동대문역사문화공원,18,0,0,0,0,4,0
19,2,206,신당,22,0,0,0,0,8,0
20,2,207,상왕십리,22,7,0,0,0,6,0
21,2,208,왕십리,24,0,0,0,0,8,0
22,2,209,한양대,30,0,0,0,0,8,0
23,2,210,뚝섬,37,0,0,0,0,12,0
24,2,211,성수,31,0,0,0,0,8,0
25,2,212,건대입구,21,3,0,0,0,6,0
26,2,213,구의,18,24,0,0,0,12,0
27,2,214,강변,25,0,0,0,0,4,0
28,2,215,잠실나루,24,5,0,0,0,6,0
29,2,216,잠실,0,79,0,0,0,8,0
30,2,217,잠실새내,0,0,0,32,0,8,0
31,2,218,종합운동장,18,28,0,0,0,10,0
32,2,219,삼성,12,30,0,0,0,4,0
33,2,220,선릉,40,0,0,0,0,8,0
34,2,221,역삼,49,0,0,0,0,8,0
35,2,222,강남,0,34,0,13,0,6,0
36,2,223,교대(2),38,0,0,0,0,8,0
37,2,201,시청(2),33,0,0,0,0,6,0
38,2,224,서초,28,0,0,0,0,6,0
39,2,225,방배,23,0,0,0,0,6,0
40,2,226,사당(2),24,11,0,0,0,8,0
41,2,227,낙성대,34,0,0,0,0,8,0
42,2,228,서울대입구,0,28,0,0,0,4,0
43,2,229,봉천,22,0,0,0,0,6,0
44,2,230,신림,14,22,0,5,0,6,0
45,2,231,신대방,0,25,0,0,0,4,0
46,2,232,구로디지탈단지,19,16,0,0,0,4,0
47,2,233,대림,20,0,0,0,0,4,0
48,2,234,신도림,35,0,0,0,0,6,0
49,2,235,문래,48,0,0,0,0,8,0
50,2,236,영등포구청,24,0,0,0,0,8,0
51,2,237,당산,24,0,0,0,0,4,0
52,2,238,합정,44,0,0,0,0,12,0
53,2,239,홍대입구,0,11,0,27,0,6,0
54,2,240,신촌,29,14,0,0,0,8,0
55,2,241,이대입구,20,0,0,0,0,4,0
56,2,242,아현,21,0,0,0,0,8,0
57,2,243,충정로,20,0,0,0,0,4,0
58,2,247,도림천,5,0,0,0,0,2,0
59,2,248,양천구청,11,0,0,0,0,2,0
60,2,249,신정네거리,26,0,0,0,0,4,0
61,3,309,지축,5,0,0,5,0,4,0
62,3,310,구파발,17,7,0,0,0,6,0
63,3,311,연신내,29,5,0,0,0,10,0
64,3,312,불광,26,0,0,0,0,10,0
65,3,313,녹번,21,4,0,0,0,4,0
66,3,314,홍제,19,0,0,0,0,4,0
67,3,315,무악재,11,0,0,0,0,4,0
68,3,316,독립문,12,0,0,0,0,4,0
69,3,317,경복궁,26,0,0,0,0,6,0
70,3,318,안국,21,0,0,0,0,4,0
71,3,319,종로3가(3),19,0,0,0,0,6,0
72,3,320,을지로3가(3),19,0,0,0,0,6,0
73,3,322,동대입구,16,0,0,0,0,4,0
74,3,323,약수,19,0,0,0,0,4,0
75,3,324,금호,14,0,0,0,0,4,0
76,3,325,옥수,15,4,0,0,0,8,0
77,3,326,압구정,48,0,0,0,0,8,0
78,3,327,신사,30,0,0,0,0,6,0
79,3,328,잠원,10,0,0,0,0,4,0
80,3,329,고속터미널,14,18,0,0,0,4,0
81,3,330,교대(3),13,0,0,0,0,4,0
82,3,331,남부터미널,34,0,0,0,0,6,0
83,3,332,양재,13,16,0,0,0,4,0
84,3,333,매봉,15,0,0,0,0,2,0
85,3,334,도곡,13,0,0,0,0,2,0
86,3,335,대치,16,0,0,0,0,4,0
87,3,336,학여울,13,0,0,0,0,2,0
88,3,337,대청,17,0,0,0,0,4,0
89,3,338,일원,17,0,0,0,0,4,0
90,3,339,수서,16,0,0,0,0,2,0
91,3,340,가락시장,0,10,0,0,0,4,0
92,3,341,경찰병원,0,9,0,0,0,2,0
93,3,342,오  금,0,7,0,0,0,2,0
94,4,409,불암산,19,0,0,0,0,4,0
95,4,410,상계,20,0,0,0,0,4,0
96,4,411,노원,23,0,0,2,0,6,0
97,4,412,창동,19,0,0,0,0,4,0
98,4,413,쌍문,0,0,0,23,0,4,0
99,4,414,수유,40,0,0,0,0,8,0
100,4,415,미아,0,0,0,25,0,8,0
101,4,416,미아3거리,37,0,0,0,0,8,0
102,4,417,길음,0,31,0,0,0,6,0
103,4,418,성신대,32,0,0,0,0,4,0
104,4,419,한성대,18,0,0,0,0,6,0
105,4,420,혜화,0,40,0,0,0,8,0
106,4,421,동대문(4),16,0,0,0,0,4,0
107,4,422,동대문역사문화공원,22,0,0,0,0,6,0
108,4,423,충무로,34,0,0,0,0,4,0
109,4,424,명동,3,32,0,0,0,8,0
110,4,425,회현,27,0,0,0,0,4,0
111,4,426,서울역(4),9,8,0,0,0,4,0
112,4,427,숙대입구,28,0,0,0,0,8,0
113,4,428,삼각지,25,0,0,0,0,4,0
114,4,429,신용산,27,0,0,0,0,8,0
115,4,430,이촌,19,0,0,0,0,4,0
116,4,431,동작,10,0,0,0,0,4,0
117,4,432,총신대,23,0,0,0,0,6,0
118,4,433,사당,25,0,0,0,0,6,0
119,4,434,남태령,7,0,0,0,0,2,0
120,5,2511,방화,0,0,6,0,0,4,0
121,5,2512,개화산,0,0,7,0,0,2,2
122,5,2513,김포공항,0,0,19,0,0,6,1
123,5,2514,송정,0,0,9,0,0,2,0
124,5,2515,마곡,0,0,9,0,5,2,0
125,5,2516,발산,0,0,25,0,0,4,0
126,5,2517,우장산,0,0,18,0,0,4,0
127,5,2518,화곡,0,0,23,0,0,4,0
128,5,2519,까치산,0,0,14,0,0,4,1
129,5,2520,신정,0,0,16,0,0,6,1
130,5,2521,목동,0,0,13,0,0,2,0
131,5,2522,오목교,0,0,30,0,0,4,2
132,5,2523,양평,0,0,8,0,0,2,0
133,5,2524,영등포구청,0,0,6,0,0,2,1
134,5,2525,영등포시장,0,0,9,0,0,4,0
135,5,2526,신길,0,0,9,0,0,2,0
136,5,2527,여의도,0,0,31,0,0,4,0
137,5,2528,여의나루,0,0,18,0,0,2,0
138,5,2529,마포,0,0,11,0,0,2,0
139,5,2530,공덕(5),0,0,16,0,0,4,0
140,5,2531,애오개,0,0,7,0,0,2,1
141,5,2532,충정로,0,0,8,0,0,2,0
142,5,2533,서대문,0,0,16,0,0,4,0
143,5,2534,광화문,0,0,29,2,0,4,0
144,5,2535,종로3가,0,0,14,0,0,6,0
145,5,2536,을지로4가,0,0,7,0,0,4,0
146,5,2537,동대문역사문화공원,0,0,7,0,0,2,1
147,5,2538,청구(5),0,0,8,0,0,2,0
148,5,2539,신금호,0,0,6,0,0,2,0
149,5,2540,행당,0,0,8,0,0,2,0
150,5,2541,왕십리,0,0,7,0,0,0,1
151,5,2542,마장,0,0,8,0,0,2,0
152,5,2543,답십리,0,0,22,0,0,4,0
153,5,2544,장한평,0,0,15,0,0,2,0
154,5,2546,아차산,0,0,13,0,0,2,2
155,5,2547,광나루,0,0,14,0,0,2,0
156,5,2548,천호(5),0,0,14,0,0,4,0
157,5,2549,강동,0,0,15,0,0,4,0
158,5,2550,길동,0,0,10,0,0,0,0
159,5,2551,굽은다리,0,0,11,0,0,0,2
160,5,2552,명일,0,0,12,0,0,2,0
161,5,2553,고덕,0,0,10,0,0,2,2
162,5,2554,상일동,0,0,16,0,0,4,0
163,5,2555,둔촌동,0,0,12,0,0,0,0
164,5,2556,올림픽공원,0,0,14,0,0,2,0
165,5,2557,방이,0,0,11,0,0,0,0
166,5,2558,오금,0,0,10,0,0,0,0
167,5,2559,개롱,0,0,10,0,0,0,0
168,5,2560,거여,0,0,10,0,0,0,2
169,5,2561,마천,0,0,11,0,0,0,2
170,5,2562,강일,0,0,16,0,0,4,0
171,5,2563,미사,0,0,10,0,0,2,0
172,5,2564,하남풍산,0,0,8,0,0,2,0
173,5,2565,하남시청,0,0,9,0,0,2,0
174,5,2566,하남검단산,0,0,17,0,0,4,0
175,6,2611,응암,0,0,15,0,0,0,0
176,6,2612,역촌,0,0,8,0,0,0,1
177,6,2613,불광,0,0,16,0,0,0,2
178,6,2614,독바위,0,0,8,0,0,0,0
179,6,2615,연신내,0,0,0,0,0,0,0
180,6,2616,구산,0,0,8,0,0,4,0
181,6,2617,새절,0,0,10,0,0,2,0
182,6,2618,증산,0,0,13,0,0,2,0
183,6,2619,디지털미디어시티,0,0,31,0,0,0,0
184,6,2620,월드컵경기장,0,0,52,0,0,6,0
185,6,2621,마포구청,0,0,19,0,0,0,0
186,6,2622,망원,0,0,14,0,0,2,0
187,6,2623,합정,0,0,11,0,0,2,0
188,6,2624,상수,0,0,12,0,0,0,0
189,6,2625,광흥창,0,0,20,0,0,0,2
190,6,2626,대흥,0,0,15,0,0,4,0
191,6,2627,공덕(6),0,0,32,0,0,0,1
192,6,2628,효창공원,0,0,12,0,0,0,1
193,6,2629,삼각지,0,0,16,0,0,2,0
194,6,2630,녹사평,0,0,8,0,0,4,1
195,6,2631,이태원,0,0,14,0,0,2,0
196,6,2632,한강진,0,0,10,0,0,0,0
197,6,2633,버티고개,0,0,7,0,0,0,0
198,6,2634,약수,0,0,8,0,0,0,1
199,6,2635,청구(6),0,0,8,0,0,0,0
200,6,2636,신당,0,0,16,0,0,0,0
201,6,2637,동묘앞,0,0,16,0,0,0,0
202,6,2638,창신,0,0,8,0,0,2,0
203,6,2639,보문,0,0,12,0,0,0,0
204,6,2640,안암,0,0,19,0,0,0,0
205,6,2641,고려대,0,0,14,0,0,2,0
206,6,2642,월곡,0,0,15,0,0,0,0
207,6,2643,상월곡,0,0,16,0,0,0,0
208,6,2644,돌곶이,0,0,10,0,0,0,0
209,6,2645,석계,0,0,24,0,0,2,0
210,6,2646,태릉입구(6),0,0,8,0,0,0,0
211,6,2647,화랑대,0,0,15,0,0,2,0
212,6,2648,봉화산,0,0,19,0,0,6,0
213,7,2711,장암,0,0,7,0,0,2,0
214,7,2712,도봉산,0,0,19,0,0,6,0
215,7,2713,수락산,0,0,16,0,0,6,0
216,7,2714,마들,0,0,15,2,0,6,0
217,7,2715,노원,0,0,19,0,0,6,0
218,7,2716,중계,0,0,16,0,0,2,0
219,7,2717,하계,0,0,18,0,0,4,2
220,7,2718,공릉,0,0,12,0,0,2,0
221,7,2719,태릉입구(7),0,0,9,0,0,2,2
222,7,2720,먹골,0,0,12,0,0,4,0
223,7,2721,중화,0,0,12,0,0,2,0
224,7,2722,상봉,0,0,14,0,0,4,1
225,7,2723,면목,0,0,12,0,0,2,0
226,7,2724,사가정,0,0,12,0,0,4,0
227,7,2725,용마산,0,0,11,0,0,2,0
228,7,2726,중곡,0,0,11,4,0,4,0
229,7,2545,군자(5),0,0,18,0,0,4,0
230,7,2727,군자(7),0,0,19,0,0,4,2
231,7,2728,어린이대공원,0,0,24,0,0,4,2
232,7,2729,건대입구,0,0,0,0,19,0,0
233,7,2730,자양,0,0,13,0,0,4,0
234,7,2731,청담,0,0,30,0,0,6,0
235,7,2732,강남구청,0,0,28,0,0,4,0
236,7,2733,학동,0,0,41,0,0,4,0
237,7,2734,논현,0,0,35,0,0,4,0
238,7,2735,반포,0,0,10,0,0,2,0
239,7,2736,고속터미널,0,0,23,0,0,4,0
240,7,2737,내방,0,0,18,0,0,2,0
241,7,2738,이수,0,0,20,0,0,4,0
242,7,2739,남성,0,0,14,0,0,2,0
243,7,2740,숭실대입구,0,0,18,0,0,2,0
244,7,2741,상도,0,0,14,0,0,2,0
245,7,2742,장승배기,0,0,20,0,0,4,0
246,7,2743,신대방삼거리,0,0,28,0,0,4,0
247,7,2744,보라매,0,0,16,0,0,4,0
248,7,2745,신풍,0,0,20,0,0,6,0
249,7,2746,대림,0,0,10,0,0,2,0
250,7,2747,남구로,0,0,26,0,0,4,0
251,7,2748,가산디지털단지,0,0,49,0,0,4,0
252,7,2749,철산,0,0,34,0,0,4,0
253,7,2750,광명사거리,0,0,24,0,0,8,0
254,7,2751,천왕,0,0,12,0,0,2,0
255,7,2752,온수,0,0,19,0,0,4,0
256,8,2810,암사역사문화공원,0,0,0,7,0,2,0
257,8,2811,암사,0,0,12,0,0,2,0
258,8,2812,천호(8),0,0,17,0,0,4,1
259,8,2813,강동구청,0,0,10,0,0,2,0
260,8,2814,몽촌토성,0,0,9,0,0,2,0
261,8,2815,잠실,0,0,18,0,0,4,2
262,8,2816,석촌,0,0,11,0,0,2,0
263,8,2817,송파,0,0,10,0,0,2,0
264,8,2818,가락시장,0,0,13,0,0,2,2
265,8,2819,문정,0,0,17,0,0,2,0
266,8,2820,장지,0,0,17,0,0,2,0
267,8,2821,복정,0,0,8,0,0,2,0
268,8,2822,산성,0,0,11,0,0,2,0
269,8,2823,남한산성입구,0,0,13,0,0,4,1
270,8,2824,단대오거리,0,0,13,0,0,2,2
271,8,2825,신흥,0,0,6,0,0,2,0
272,8,2826,수진,0,0,9,0,0,2,0
273,8,2827,모란,0,0,6,0,0,4,1
274,8,2828,남위례,0,0,0,7,0,4,0
