agent_id,x_rev,y_rev,total_rev,approach_dwell,duration,detour_ratio,start_x,start_y,end_x,end_y,gate_idx
1,0,0,0,2.8,5.8,1.07,4.4,15.3,11.7,11.8,2
2,0,0,0,2.8,4.8,1.02,5.0,16.4,11.7,15.1,6
3,0,0,0,3.6,8.6,1.08,3.8,16.9,11.6,12.6,3
4,0,0,0,3.5,7.4,1.13,4.6,17.0,11.7,11.0,1
5,0,0,0,2.8,6.1,1.0,3.6,16.0,11.8,15.1,6
6,0,0,0,2.9,4.7,1.02,5.5,16.2,11.7,15.1,6
7,0,0,0,3.9,6.1,1.05,5.1,17.3,10.9,15.2,6
8,4,0,4,5.2,9.4,1.21,4.3,17.9,11.6,11.8,2
9,0,0,0,3.2,6.3,1.06,4.9,16.9,11.7,14.3,5
10,2,3,5,3.0,4.4,1.22,5.2,15.4,10.5,14.8,6
11,0,0,0,4.2,8.9,1.12,4.3,17.2,11.6,11.9,2
12,0,2,2,2.8,5.6,1.06,4.5,16.1,11.7,13.5,4
13,0,0,0,3.7,7.0,1.11,5.2,16.7,11.8,12.6,3
15,0,0,0,2.6,5.8,1.02,3.9,17.0,11.0,15.2,6
16,5,9,14,11.9,16.3,1.67,4.7,15.4,11.2,11.7,2
18,6,2,8,10.4,14.4,1.24,5.8,16.6,11.7,10.2,0
20,0,0,0,3.3,7.8,1.06,3.6,15.1,11.6,10.9,1
21,0,0,0,4.5,7.2,1.06,5.5,17.5,10.4,15.3,6
22,0,3,3,3.0,7.9,1.12,4.5,16.3,11.6,12.3,3
23,0,0,0,3.6,9.3,1.13,4.8,17.6,11.6,10.9,1
24,1,5,6,4.1,7.3,1.08,4.6,17.7,10.5,15.3,6
25,6,5,11,7.7,14.1,1.17,4.6,16.6,11.9,9.7,0
27,1,0,1,5.4,11.1,1.13,5.0,15.1,11.7,10.1,0
28,0,2,2,2.8,5.4,1.05,5.5,16.4,11.7,14.3,5
29,0,2,2,2.8,6.9,1.07,4.2,16.9,10.5,14.6,5
30,4,9,13,3.6,9.5,1.19,3.9,15.8,11.7,11.6,2
31,0,1,1,3.2,8.1,1.1,4.4,17.5,10.4,13.8,5
33,1,1,2,4.1,6.8,1.12,5.5,16.8,11.7,13.2,4
35,0,1,1,4.4,10.9,1.12,4.1,16.2,11.7,9.7,0
36,0,3,3,3.7,6.2,1.06,4.9,17.5,10.4,15.3,6
38,0,0,0,3.1,4.9,1.09,5.6,17.2,11.0,14.4,5
40,0,1,1,3.4,6.4,1.07,5.1,15.6,10.4,14.2,5
41,1,7,8,4.7,10.2,1.09,4.1,15.4,11.7,13.0,4
42,2,2,4,6.4,11.0,1.17,4.4,18.0,11.5,10.4,0
44,2,4,6,3.9,8.5,1.05,3.6,16.0,10.9,14.0,5
45,2,0,2,8.1,11.5,1.17,4.5,16.3,11.5,10.0,0
46,6,6,12,8.5,11.4,1.58,5.1,16.8,11.7,12.4,3
47,0,3,3,4.0,9.5,1.08,3.7,17.3,10.4,14.1,5
48,0,3,3,5.0,9.6,1.04,3.9,16.3,11.7,14.9,6
50,6,3,9,7.6,8.5,1.31,6.9,15.7,11.7,11.1,1
51,0,2,2,4.6,7.7,1.12,5.5,18.0,11.3,14.6,5
54,0,7,7,6.1,12.5,1.13,3.6,15.9,10.9,12.8,4
56,2,3,5,4.5,9.0,1.09,3.8,15.6,11.9,13.1,4
57,8,4,12,3.9,10.5,1.14,3.7,16.5,10.4,10.1,0
58,0,4,4,3.9,8.1,1.03,4.6,15.2,11.9,13.7,4
59,8,1,9,8.9,12.4,1.23,5.4,17.2,11.2,10.0,0
61,1,4,5,3.8,8.4,1.18,5.1,16.1,11.7,12.0,2
62,2,4,6,5.6,11.0,1.16,4.7,17.2,11.0,11.8,2
63,0,1,1,4.0,9.3,1.08,3.7,15.1,11.1,10.5,1
64,2,5,7,4.3,10.1,1.17,3.6,16.1,10.9,11.0,2
65,0,2,2,4.4,8.4,1.1,5.0,15.4,11.1,11.0,1
67,4,0,4,12.3,13.2,1.37,6.9,17.4,9.9,10.0,0
70,8,12,20,5.0,11.7,1.23,4.0,16.2,11.7,14.1,5
72,4,8,12,3.9,10.1,1.18,4.0,17.0,10.7,10.6,0
74,0,3,3,3.8,6.9,1.1,5.2,15.7,10.4,12.9,4
76,3,2,5,6.2,9.1,1.2,6.3,16.4,11.7,12.9,3
78,0,2,2,5.2,10.1,1.1,5.0,16.4,11.3,12.3,3
79,8,2,10,9.1,12.6,1.18,5.2,17.5,11.0,11.9,2
80,1,1,2,3.6,8.6,1.12,4.0,16.3,10.9,9.9,0
82,0,4,4,3.9,10.6,1.07,3.6,17.2,10.4,13.1,4
83,2,8,10,5.2,11.0,1.13,4.2,17.8,9.9,13.9,4
85,2,4,6,8.4,13.5,1.19,5.0,17.4,11.4,12.0,2
87,12,18,30,11.4,16.8,2.42,3.7,16.0,9.4,12.6,3
90,4,4,8,3.5,8.6,1.13,3.6,17.8,10.7,11.2,1
91,8,6,14,10.4,13.8,1.25,5.3,17.7,10.9,11.1,1
92,0,3,3,5.5,12.2,1.09,3.6,15.8,10.8,11.0,2
94,2,3,5,3.6,8.2,1.18,5.3,15.3,10.4,12.4,4
95,4,8,12,9.3,14.7,1.58,3.9,17.6,9.8,12.9,3
98,8,8,16,9.2,10.9,1.31,5.5,17.9,10.8,11.9,2
99,0,0,0,3.5,5.9,1.05,5.1,17.2,10.9,15.2,6
100,1,3,4,3.0,6.3,1.04,4.9,16.6,10.4,15.2,6
101,1,4,5,3.9,9.2,1.08,4.2,16.2,9.9,12.7,4
102,2,4,6,8.0,13.5,1.16,5.0,16.1,10.8,11.0,1
104,1,1,2,2.9,6.9,1.14,4.1,15.3,10.4,10.3,0
108,0,1,1,3.4,7.2,1.09,4.2,15.6,10.9,11.9,3
109,4,9,13,5.3,11.0,1.21,3.7,15.7,10.8,12.3,3
114,0,2,2,3.0,5.5,1.06,4.9,18.3,9.9,15.5,6
117,3,2,5,7.4,12.5,1.19,4.7,17.1,9.9,11.3,2
119,6,8,14,3.4,9.8,1.28,4.4,16.0,9.9,13.5,4
120,2,0,2,4.6,10.0,1.12,4.6,15.5,10.9,10.8,1
121,8,6,14,8.3,10.5,1.63,4.8,17.4,9.9,12.5,3
122,5,2,7,5.6,10.1,1.13,5.0,15.9,9.9,11.6,2
124,2,4,6,2.9,5.3,1.11,4.6,18.0,10.4,15.5,6
127,8,13,21,8.7,11.3,1.7,4.9,17.6,9.9,13.8,5
128,0,6,6,3.0,7.6,1.04,3.7,16.2,9.9,15.1,6
129,0,1,1,3.5,9.7,1.11,3.6,17.1,11.2,10.5,1
130,0,3,3,3.2,7.6,1.04,3.8,15.5,10.4,13.9,5
132,5,0,5,7.4,10.8,1.2,5.1,17.0,9.8,11.0,1
133,0,6,6,2.0,5.4,1.06,3.8,17.2,10.0,15.5,6
135,4,4,8,6.1,11.8,1.12,3.8,17.9,9.7,12.0,2
141,0,3,3,3.2,5.2,1.08,5.6,16.8,10.4,14.3,5
143,0,2,2,5.3,8.4,1.11,5.1,17.1,9.9,15.4,6
146,4,3,7,4.5,9.8,1.12,3.7,17.0,10.1,12.0,3
149,1,1,2,4.0,8.5,1.09,4.6,16.3,10.6,10.3,1
150,4,18,22,4.9,11.8,1.13,4.3,16.7,9.4,14.6,6
151,0,3,3,5.1,10.2,1.09,4.3,17.6,9.2,13.6,5
153,2,6,8,4.0,7.8,1.15,4.7,16.4,10.0,13.6,5
157,18,14,32,10.7,10.7,1.54,7.3,18.5,9.3,13.9,5
159,4,8,12,6.0,10.0,1.1,4.2,17.9,9.3,14.6,5
163,4,2,6,7.7,9.3,1.16,6.1,17.7,9.4,12.9,3
165,12,27,39,7.1,11.1,1.26,3.6,15.1,9.6,13.5,5
168,1,2,3,4.0,6.3,1.16,6.1,16.8,10.4,14.6,5
169,4,7,11,7.2,12.2,1.1,4.8,16.9,9.6,14.0,5
170,2,7,9,4.2,7.9,1.05,5.1,15.8,9.4,13.5,5
174,2,6,8,3.2,4.2,1.06,6.5,15.5,10.2,14.4,5
175,18,14,32,7.2,12.0,1.39,3.8,17.4,9.1,14.9,5
179,4,2,6,5.9,7.1,1.25,6.5,14.9,9.4,11.9,2
180,4,1,5,4.5,10.6,1.11,4.4,16.7,9.7,13.4,5
181,0,3,3,4.6,9.9,1.04,4.8,16.6,9.4,13.9,5
182,0,7,7,4.3,8.6,1.05,4.3,15.8,9.2,14.1,5
185,2,2,4,4.9,5.9,1.13,6.1,17.1,9.8,14.6,5
187,0,1,1,3.3,6.5,1.05,4.6,15.0,9.7,11.3,2
193,3,1,4,3.9,8.3,1.11,4.3,15.4,10.1,11.4,2
195,0,2,2,4.1,7.6,1.09,3.8,16.7,10.0,11.9,2
196,10,9,19,5.5,11.6,1.21,3.6,17.2,9.4,14.0,5
199,0,1,1,3.0,6.6,1.07,3.9,15.2,9.9,11.4,2
202,28,21,49,8.9,10.1,2.17,6.7,16.1,9.4,14.4,5
203,4,2,6,1.4,7.9,1.14,4.9,17.9,8.9,12.6,3
205,0,2,2,3.1,7.5,1.07,3.7,15.9,10.2,11.9,2
206,0,3,3,2.2,5.5,1.08,5.0,16.0,8.9,12.8,3
207,0,0,0,1.6,5.8,1.04,4.0,16.7,8.6,12.8,3
209,2,0,2,2.0,6.9,1.08,3.7,17.0,9.4,11.0,1
210,0,0,0,1.2,7.1,1.08,4.5,17.5,8.6,12.0,2
212,6,6,12,1.8,8.3,1.14,4.1,17.0,9.4,12.4,3
214,0,0,0,2.3,6.9,1.06,4.5,16.6,8.9,11.1,1
218,10,6,16,7.5,8.9,1.23,6.4,16.5,8.4,13.0,3
220,6,0,6,4.7,9.6,1.1,5.4,17.6,9.0,10.3,0
222,0,5,5,3.6,8.2,1.05,4.8,16.8,9.1,14.6,5
223,2,2,4,2.1,9.4,1.08,3.9,17.6,9.0,11.3,1
225,0,0,0,1.9,6.3,1.08,4.1,15.6,9.4,10.2,0
227,2,0,2,3.4,10.3,1.08,4.7,17.3,9.0,10.3,0
229,1,0,1,1.5,6.2,1.07,4.1,16.2,8.9,11.6,2
