scenario_id,p,config,seed,passed,t_first_pass,t_last_pass,active_period,throughput_active,throughput_full,per_gate_active,z_bmax
p10_cfg2_s42,0.1,2,42,794,33.4,599.4,566.0,1.4028268551236749,1.3233333333333333,0.20040383644623927,0.1805555555555555
p10_cfg1_s42,0.1,1,42,794,33.4,583.35,549.95,1.4437676152377488,1.3233333333333333,0.20625251646253553,0.4541666666666666
p10_cfg1_s46,0.1,1,46,811,33.0,597.75,564.75,1.4360336432049579,1.3516666666666666,0.20514766331499398,0.4847222222222222
p10_cfg1_s44,0.1,1,44,805,34.300000000000004,598.5500000000001,564.2500000000001,1.4266725742135575,1.3416666666666666,0.20381036774479394,0.3791666666666666
p10_cfg1_s43,0.1,1,43,823,35.0,577.4,542.4,1.517330383480826,1.3716666666666666,0.21676148335440373,0.6652777777777777
p10_cfg1_s45,0.1,1,45,856,34.5,595.95,561.45,1.5246237420963575,1.4266666666666667,0.21780339172805108,0.5791666666666667
p10_cfg2_s44,0.1,2,44,776,34.300000000000004,599.45,565.1500000000001,1.3730867911174023,1.2933333333333332,0.1961552558739146,0.1916666666666666
p10_cfg2_s43,0.1,2,43,823,34.95,598.3000000000001,563.35,1.4609035235643915,1.3716666666666666,0.20870050336634163,0.2236111111111111
p10_cfg3_s43,0.1,3,43,786,34.45,598.1,563.65,1.394482391555043,1.31,0.199211770222149,0.1138888888888888
p10_cfg3_s42,0.1,3,42,780,34.35,599.3000000000001,564.95,1.3806531551464731,1.3,0.19723616502092473,0.0986111111111111
p10_cfg2_s45,0.1,2,45,833,34.9,599.75,564.85,1.4747278038417277,1.3883333333333334,0.21067540054881825,0.2652777777777778
p10_cfg2_s46,0.1,2,46,790,33.0,599.6,566.6,1.3942816801976703,1.3166666666666667,0.19918309717109575,0.2263888888888889
p10_cfg4_s42,0.1,4,42,626,34.35,599.7,565.35,1.107278676925798,1.0433333333333332,0.15818266813225687,0.0861111111111111
p10_cfg4_s43,0.1,4,43,627,34.45,599.2,564.75,1.1102257636122177,1.045,0.1586036805160311,0.0819444444444444
p10_cfg4_s44,0.1,4,44,603,34.550000000000004,599.7,565.1500000000001,1.0669733699017958,1.005,0.15242476712882796,0.0847222222222222
p10_cfg3_s44,0.1,3,44,752,35.300000000000004,599.95,564.6500000000001,1.331798459222527,1.2533333333333334,0.19025692274607528,0.1041666666666666
p10_cfg3_s46,0.1,3,46,754,33.7,599.85,566.15,1.3318025258323767,1.2566666666666666,0.19025750369033953,0.0888888888888888
p10_cfg3_s45,0.1,3,45,801,34.050000000000004,598.5500000000001,564.5000000000001,1.4189548272807793,1.335,0.20270783246868276,0.1083333333333333
p10_cfg4_s46,0.1,4,46,593,33.7,598.8000000000001,565.1,1.049371792603079,0.9883333333333333,0.14991025608615413,0.075
p10_cfg4_s45,0.1,4,45,612,34.4,599.4,565.0,1.0831858407079646,1.02,0.1547408343868521,0.0777777777777777
p10_cfg5_s42,0.1,5,42,449,34.550000000000004,599.0,564.45,0.7954646115687837,0.7483333333333333,0.11363780165268338,0.0263888888888888
p10_cfg5_s44,0.1,5,44,441,34.9,598.75,563.85,0.7821229050279329,0.735,0.11173184357541899,0.0277777777777777
p10_cfg5_s43,0.1,5,43,440,34.800000000000004,597.9,563.1,0.781388740898597,0.7333333333333333,0.11162696298551386,0.0208333333333333
